hosp_id,hosp_name,hosp_type,hosp_network_status,hosp_registration_number,hosp_pan,hosp_address_line_1,hosp_address_line_2,hosp_address_line_3,hosp_landmark,hosp_city,hosp_district,hosp_state,hosp_country,hosp_pin_code,hosp_latitude,hosp_longitude,hosp_contact_number,hosp_email,hosp_website,hosp_primary_specialty,hosp_secondary_specialty,hosp_total_beds,hosp_emergency_services,hosp_cashless_facility_flag,hosp_opd_facility_flag,hosp_lab_facility_flag,hosp_pharmacy_facility_flag,hosp_ambulance_facility_flag,hosp_operating_theaters,hosp_blood_bank_flag,hosp_cardiac_unit_flag,hosp_neurology_unit_flag,hosp_orthopedic_unit_flag,hosp_oncology_unit_flag,hosp_pediatrics_unit_flag,hosp_maternity_unit_flag,hosp_inspection_date,hosp_inspection_status,hosp_license_expiry_date,hosp_area,hosp_susp_flag,hosp_non_pref_flag,hosp_defunct_flag,hosp_gross_med_negligence_ind,hosp_total_icu_beds,hosp_total_ventilators,hosp_susp_flag_date
HOSP-0001,Sandhu Care,Private,Network,MHMC-48105,RSBIX2853I,H.No. 316- Bahri Chowk,Seshadri Marg,Bongaigaon,Opposite Park,Kolkata,Kolkata,West Bengal,India,707972,22.651787,88.336211,8264052199,xsampath@ahuja.biz,www.uppal-dhaliwal.com,Cardiology,General Medicine,379,Yes,Yes,Yes,Yes,Yes,Yes,20,Yes,Yes,Yes,Yes,No,No,Yes,2025-05-05,Passed,2026-03-09,Urban,No,No,No,0,37,18,
HOSP-0002,Golla Care,Private,Non-Network,MHMC-31691,LYJAP1198S,26- Ravel Road,Lal Nagar,Rourkela,,Madurai,Madurai,Tamil Nadu,India,688750,9.812852,78.18199,+915471966726,chadakaira@singhal.com,www.gade-agrawal.com,Cardiology,Obstetrics & Gynecology,57,Yes,Yes,Yes,Yes,No,Yes,6,No,No,No,No,No,Yes,No,2025-03-08,Passed,2027-12-11,Urban,No,No,No,0,5,2,
HOSP-0003,Rout Medical Center,Trust,Non-Network,MHMC-74164,JGYVB0499L,663- Bajwa Path,Yohannan Marg,Morena,Behind Mall,Mysore,Mysore,Karnataka,India,576349,12.388297,76.697687,03722175885,zainawadhwa@kumar.net,www.date.com,Pediatrics,Obstetrics & Gynecology,478,No,Yes,Yes,Yes,Yes,No,15,No,No,No,No,Yes,No,No,2025-04-19,Pending,2027-08-12,Rural,No,No,No,0,47,23,
HOSP-0004,Sami Care,Trust,Non-Network,MHMC-47340,JUSTJ4018Q,H.No. 55- Koshy Road,Upadhyay Zila,Bhiwandi,Behind Mall,Chennai,Chennai,Tamil Nadu,India,680835,13.029034,80.266602,+917222141130,gatik01@kaul.com,www.sekhon.org,Neurology,Cardiology,900,Yes,Yes,Yes,Yes,Yes,No,12,No,No,No,No,No,Yes,Yes,2025-07-03,Passed,2027-09-17,Urban,No,No,No,0,90,45,
HOSP-0005,Randhawa Hospital,Trust,Network,MHMC-72064,THGPN6959O,97/781 Dixit Zila,Agarwal Chowk,Vellore,Opposite Park,Bangalore,Bangalore,Karnataka,India,566703,12.808246,77.538136,5815330496,ranbir80@kibe.com,www.dora.info,Oncology,Cardiology,606,Yes,Yes,Yes,Yes,Yes,Yes,2,No,Yes,Yes,Yes,Yes,No,No,2024-11-26,Passed,2027-01-25,Rural,No,No,No,0,60,30,
HOSP-0006,Goda Medical Center,Government,Network,MHMC-50289,XCZME0030I,H.No. 441 Kapadia,Deshpande Ganj,Raiganj,Near Metro Station,Mumbai,Mumbai,Maharashtra,India,428669,19.033993,72.952948,0348905989,badamijayesh@jhaveri-dugar.info,www.bora.net,Cardiology,Pediatrics,118,Yes,No,Yes,Yes,Yes,No,17,No,Yes,No,Yes,Yes,Yes,No,2024-09-29,Passed,2028-07-04,Urban,No,No,No,0,11,5,
HOSP-0007,Mahal Care,Private,Non-Network,MHMC-20210,MCBSN4869Q,40- Hans Street,Kohli Marg,Ongole,,Coimbatore,Coimbatore,Tamil Nadu,India,642935,10.952807,76.970902,09252600830,ramaaina@goswami.com,www.sankaran-anand.com,General Medicine,Obstetrics & Gynecology,471,Yes,Yes,Yes,Yes,Yes,Yes,14,Yes,Yes,Yes,No,No,Yes,Yes,2025-06-14,Failed,2026-07-19,Urban,No,No,No,0,47,23,
HOSP-0008,Gala Care,Trust,Network,MHMC-50660,ZOSXJ8340M,39/141 Sekhon Circle,Luthra Marg,Katni,Opposite Park,New Delhi,New Delhi,Delhi,India,110075,28.677877,77.122807,2318358792,armaanbawa@sandal.com,www.vasa.com,Pediatrics,General Surgery,195,Yes,Yes,No,Yes,Yes,Yes,18,Yes,Yes,No,No,Yes,Yes,Yes,2025-06-07,Passed,2026-09-05,Urban,No,No,No,0,19,9,
HOSP-0009,Tandon Medical Center,Government,Non-Network,MHMC-70240,BTIFE5148D,61 Bhavsar Path,Maharaj Road,Bellary,,Bangalore,Bangalore,Karnataka,India,574632,12.889381,77.652554,+910559925638,ahujavihaan@buch-soni.com,www.kohli.com,Obstetrics & Gynecology,Oncology,118,Yes,Yes,Yes,Yes,Yes,No,5,Yes,Yes,No,Yes,No,Yes,Yes,2024-10-21,Passed,2027-10-03,Urban,No,No,No,0,11,5,
HOSP-0010,Anand Hospital,Private,Network,MHMC-36060,AFBTX3748U,67/46 Raju Chowk,Deo Marg,Mangalore,Near Metro Station,New Delhi,New Delhi,Delhi,India,110066,28.580818,77.193063,+915084879820,anikamander@kumar.com,www.rajagopal.com,Obstetrics & Gynecology,Cardiology,234,Yes,Yes,Yes,Yes,Yes,Yes,11,No,Yes,Yes,Yes,Yes,Yes,No,2025-04-05,Passed,2028-02-16,Urban,No,No,No,0,23,11,
