policy_number,member_id
POL-16759,MEMBER-002679
POL-16759,MEMBER-004917
POL-16759,MEMBER-000665
POL-16759,MEMBER-003240
POL-16759,MEMBER-006221
POL-18495,MEMBER-006574
POL-18495,MEMBER-002829
POL-18495,MEMBER-001472
POL-18495,MEMBER-003901
POL-18852,MEMBER-003341
POL-18852,MEMBER-006293
POL-18852,MEMBER-002699
POL-18852,MEMBER-000426
POL-10749,MEMBER-002893
POL-10749,MEMBER-004372
POL-17555,MEMBER-006200
POL-17555,MEMBER-001574
POL-17555,MEMBER-005982
POL-15469,MEMBER-006740
POL-19667,MEMBER-003355
POL-15700,MEMBER-003419
POL-14627,MEMBER-003092
POL-14627,MEMBER-004121
POL-14627,MEMBER-006494
POL-18063,MEMBER-003928
POL-18063,MEMBER-000336
POL-18063,MEMBER-006847
POL-18063,MEMBER-000256
POL-10567,MEMBER-002488
POL-10567,MEMBER-006497
POL-10567,MEMBER-003797
POL-18002,MEMBER-002098
POL-18002,MEMBER-005507
POL-18002,MEMBER-004869
POL-17554,MEMBER-001589
POL-17554,MEMBER-000380
POL-15929,MEMBER-002617
POL-11886,MEMBER-006252
POL-11886,MEMBER-003657
POL-11886,MEMBER-005417
POL-15979,MEMBER-005339
POL-15979,MEMBER-001288
POL-18048,MEMBER-002981
POL-18048,MEMBER-001287
POL-18048,MEMBER-001599
POL-18048,MEMBER-005668
POL-18048,MEMBER-002088
POL-16787,MEMBER-002315
POL-16787,MEMBER-001710
POL-16787,MEMBER-003403
POL-16787,MEMBER-001183
POL-19090,MEMBER-001098
POL-19090,MEMBER-000015
POL-19090,MEMBER-006102
POL-19090,MEMBER-004104
POL-10012,MEMBER-003525
POL-10012,MEMBER-006341
POL-10012,MEMBER-003345
POL-10012,MEMBER-002134
POL-10012,MEMBER-001101
POL-14417,MEMBER-001209
POL-14417,MEMBER-002209
POL-14417,MEMBER-001593
POL-14417,MEMBER-004489
POL-18796,MEMBER-003777
POL-18796,MEMBER-001448
POL-18796,MEMBER-006451
POL-18796,MEMBER-000828
POL-18796,MEMBER-000732
POL-12529,MEMBER-006151
POL-12529,MEMBER-000363
POL-12529,MEMBER-001600
POL-12529,MEMBER-004234
POL-12529,MEMBER-001131
POL-17835,MEMBER-004741
POL-17835,MEMBER-000700
POL-17835,MEMBER-003364
POL-17835,MEMBER-001277
POL-17835,MEMBER-004768
POL-10934,MEMBER-005851
POL-10934,MEMBER-000698
POL-10934,MEMBER-002466
POL-10934,MEMBER-001554
POL-10934,MEMBER-004697
POL-13907,MEMBER-002455
POL-13907,MEMBER-003262
POL-13907,MEMBER-000530
POL-12239,MEMBER-002894
POL-12239,MEMBER-002931
POL-12239,MEMBER-006354
POL-12239,MEMBER-000692
POL-13298,MEMBER-001411
POL-13298,MEMBER-006235
POL-13298,MEMBER-004593
POL-13298,MEMBER-006111
POL-17941,MEMBER-004034
POL-17941,MEMBER-003928
POL-17941,MEMBER-000835
POL-17941,MEMBER-002876
POL-19622,MEMBER-005259
POL-19622,MEMBER-003531
POL-10564,MEMBER-000764
POL-10564,MEMBER-003787
POL-12783,MEMBER-000497
POL-12783,MEMBER-006167
POL-12783,MEMBER-002377
POL-12783,MEMBER-005793
POL-19996,MEMBER-001836
POL-19996,MEMBER-004709
POL-19996,MEMBER-001770
POL-19996,MEMBER-005665
POL-17901,MEMBER-002358
POL-17901,MEMBER-005258
POL-17901,MEMBER-001300
POL-14758,MEMBER-005513
POL-14758,MEMBER-004995
POL-11341,MEMBER-005409
POL-11341,MEMBER-005851
POL-13151,MEMBER-004485
POL-13151,MEMBER-006439
POL-13151,MEMBER-000647
POL-13151,MEMBER-004011
POL-13151,MEMBER-006727
POL-13140,MEMBER-005434
POL-13140,MEMBER-004090
POL-11045,MEMBER-002365
POL-11045,MEMBER-000774
POL-11045,MEMBER-005678
POL-11045,MEMBER-001534
POL-16793,MEMBER-001318
POL-13732,MEMBER-000732
POL-13732,MEMBER-002353
POL-12925,MEMBER-001925
POL-12925,MEMBER-003194
POL-12925,MEMBER-004764
POL-12925,MEMBER-000039
POL-18107,MEMBER-000053
POL-18107,MEMBER-000145
POL-18107,MEMBER-006769
POL-18197,MEMBER-006094
POL-18197,MEMBER-004832
POL-18197,MEMBER-005988
POL-16322,MEMBER-003088
POL-16322,MEMBER-003441
POL-16322,MEMBER-003502
POL-16322,MEMBER-005162
POL-14011,MEMBER-003055
POL-14011,MEMBER-001694
POL-14011,MEMBER-006553
POL-14227,MEMBER-001572
POL-19772,MEMBER-005355
POL-19772,MEMBER-002834
POL-19772,MEMBER-001495
POL-19772,MEMBER-004940
POL-16842,MEMBER-004429
POL-16842,MEMBER-004950
POL-16842,MEMBER-002674
POL-16842,MEMBER-001153
POL-13223,MEMBER-001739
POL-13223,MEMBER-001881
POL-13223,MEMBER-007000
POL-13223,MEMBER-003560
POL-10382,MEMBER-005846
POL-14312,MEMBER-004259
POL-14312,MEMBER-003865
POL-14312,MEMBER-006402
POL-14312,MEMBER-006158
POL-16980,MEMBER-001089
POL-16980,MEMBER-000201
POL-16980,MEMBER-000004
POL-17111,MEMBER-002809
POL-17111,MEMBER-000955
POL-17111,MEMBER-000451
POL-17111,MEMBER-003339
POL-17111,MEMBER-004957
POL-17841,MEMBER-005782
POL-17841,MEMBER-002928
POL-17841,MEMBER-006675
POL-17841,MEMBER-003925
POL-17841,MEMBER-005394
POL-19536,MEMBER-003563
POL-19536,MEMBER-002538
POL-19536,MEMBER-002595
POL-18472,MEMBER-003750
POL-11263,MEMBER-003479
POL-11263,MEMBER-003487
POL-11263,MEMBER-006201
POL-11263,MEMBER-000900
POL-12764,MEMBER-003130
POL-12764,MEMBER-001108
POL-12764,MEMBER-000765
POL-11236,MEMBER-001959
POL-11236,MEMBER-005215
POL-16562,MEMBER-002351
POL-16562,MEMBER-000167
POL-16562,MEMBER-006435
POL-16472,MEMBER-002803
POL-16472,MEMBER-004227
POL-13919,MEMBER-003247
POL-13919,MEMBER-003494
POL-17385,MEMBER-000342
POL-18207,MEMBER-002455
POL-18207,MEMBER-001327
POL-18207,MEMBER-002594
POL-18207,MEMBER-006468
POL-18207,MEMBER-001674
POL-10829,MEMBER-006045
POL-14387,MEMBER-003446
POL-18349,MEMBER-004174
POL-18349,MEMBER-005369
POL-18349,MEMBER-000691
POL-18349,MEMBER-003114
POL-18349,MEMBER-000220
POL-18690,MEMBER-003031
POL-18690,MEMBER-002364
POL-18690,MEMBER-006072
POL-18690,MEMBER-002293
POL-18690,MEMBER-003083
POL-13286,MEMBER-001088
POL-13286,MEMBER-000955
POL-13286,MEMBER-006901
POL-15103,MEMBER-001119
POL-15103,MEMBER-000135
POL-15103,MEMBER-005090
POL-15103,MEMBER-002027
POL-15103,MEMBER-006095
POL-19827,MEMBER-002971
POL-19827,MEMBER-004992
POL-19827,MEMBER-005596
POL-13610,MEMBER-006241
POL-13610,MEMBER-000564
